season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,1,1,2,,1010,CHINA,7303,CHN,6:53.650,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,1,2,3,,1013,JAPAN,7304,JPN,6:54.016,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,1,3,1,,1008,AUSTRALIA,7305,AUS,7:08.478,
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,1,4,4,,1017,UKRAINE,7308,UKR,7:15.234,
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,2,1,3,,1009,CANADA,7309,CAN,6:50.836,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,2,2,1,,1014,KOREA,7300,KOR,6:51.524,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,2,3,2,,1018,UNITEDSTATES,7306,USA,7:00.333,q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,2,4,4,,1015,NEWZEALAND,8171,NZL,7:15.024,
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,3,1,1,,1012,ITALY,7301,ITA,7:06.515,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,3,2,3,,1019,GREATBRITAIN,7320,GBR,7:07.066,Q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,3,3,2,,1011,FRANCE,7319,FRA,7:07.420,q
2003-2004,"2003 World Cup 2, USA",5000MRelay,m,Heats,3,4,4,,1016,POLAND,7326,POL,7:11.816,
