season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,1,1,5,,306,CHINA,9022,CHN,4:06.431,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,1,2,4,,315,ITALY,9023,ITA,4:11.951,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,1,3,3,,308,CHINESETAIPEI,9150,TPE,4:16.693,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,1,4,2,,331,UKRAINE,9031,UKR,4:18.315,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,1,5,1,,330,TURKEY,9030,TUR,4:19.267,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,2,1,5,,328,RUSSIA,9029,RUS,4:01.713,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,2,2,3,,334,UNITEDSTATES,9032,USA,4:02.850,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,2,3,1,,311,GERMANY,9020,GER,4:12.376,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,2,PEN,4,,322,LATVIA,9034,LAT,PEN,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,2,DNF,2,,318,KAZAKHSTAN,9025,KAZ,DNF,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,3,1,2,,317,JAPAN,9024,JPN,4:04.250,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,3,2,4,,310,FRANCE,9018,FRA,4:05.580,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,3,3,1,,301,AUSTRALIA,9012,AUS,4:10.034,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,3,PEN,3,,325,POLAND,9028,POL,PEN,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,4,1,3,,320,KOREA,9026,KOR,4:02.551,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,4,2,4,,323,NETHERLANDS,9027,NED,4:05.106,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,4,3,5,,312,HUNGARY,9021,HUN,4:11.763,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,4,4,1,,304,CANADA,9016,CAN,4:13.848,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,m,Heats,4,5,2,,302,BELARUS,9014,BLR,4:15.390,,
