season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,1,2,1,,200,CANADA,7309,CAN,7:05.902,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,1,3,2,,207,RUSSIA,7307,RUS,7:07.722,q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,1,4,3,,203,AUSTRALIA,7305,AUS,7:13.235,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,2,1,2,,206,KOREA,7300,KOR,6:59.314,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,2,2,3,,210,UNITEDSTATES,7306,USA,7:00.887,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,2,3,1,,202,GERMANY,7302,GER,7:01.826,q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,3,1,1,,201,CHINA,7303,CHN,7:03.886,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,3,2,2,,205,JAPAN,7310,JPN,7:06.262,Q
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,3,3,3,,209,UKRAINE,7308,UKR,7:17.642,
2006-2007,"ISU World Cup 2006/2007, Korea, Jeonju City",5000mRelay,m,QuarterFinals,3,DNF,4,,208,CHINESETAIPEI,7318,TPE,DNF,
