season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,1,1,3,,149,RUSNAKOVAPetra,9297,SVK,47.006,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,1,2,1,,98,HannahMORRISON,9195,GBR,47.188,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,1,3,2,,154,JuliaALBERT,9127,ROU,48.073,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,2,1,4,,90,DOLGOPOLOVAMariya,8096,UKR,46.953,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,2,2,3,,112,PENCHEVAZornica,8461,BUL,47.019,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,2,3,2,,36,SEJPALOVA-HRUZOVAMichaela,8553,CZE,47.806,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,2,4,1,,43,UZAKOVAMariia-Mahdalyna,8759,UKR,48.098,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,3,1,2,,70,BACSKAISaraLuca,8609,HUN,45.723,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,3,2,1,,33,MANOILOVAKatrin,8539,BUL,45.829,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,3,3,3,,118,DANNEELAlexandra,9320,BEL,45.970,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,3,4,4,,108,RanyaEZZI,6840,SWE,46.764,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,4,1,1,,102,SamanthaMORRISON,9196,GBR,46.619,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,4,2,2,,143,ASCICValentina,8603,CRO,46.708,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,4,3,3,,45,BURICKatarina,8550,CRO,46.711,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),500m,w,RankingFinals,4,4,4,,91,JenniferPICKERING,9170,GBR,46.806,,
