season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,1,1,2,,703,GREATBRITAIN,7331,GBR,4:14.570,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,1,2,1,,710,RUSSIA,7315,RUS,4:14.791,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,1,3,3,,702,BULGARIA,7335,BUL,4:29.438,q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,2,1,3,,706,ITALY,7317,ITA,4:15.103,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,2,2,1,,704,GERMANY,7313,GER,4:15.986,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,2,3,2,,708,POLAND,7332,POL,4:19.368,q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,3,1,2,,705,HUNGARY,7323,HUN,4:16.092,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,3,2,4,,707,NETHERLANDS,7322,NED,4:16.122,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,3,3,1,,711,UKRAINE,7334,UKR,4:39.802,ADV,
2013-2014,ISU European Short Track Speed Skating Championships 2014,3000mRelay,w,Heats,3,PEN,3,,701,BELARUS,7479,BLR,PEN,,
