season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,1,1,1,,814,RUSSIA,7307,RUS,4:05.321JWR,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,1,2,3,,818,UNITEDSTATES,7306,USA,4:07.433,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,1,3,5,,810,KAZAKHSTAN,7356,KAZ,4:09.057,q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,1,4,4,,806,GERMANY,7302,GER,4:11.336,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,1,5,2,,805,FRANCE,7319,FRA,4:28.576,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,2,1,1,,807,HUNGARY,7324,HUN,4:06.595,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,2,2,2,,809,JAPAN,7310,JPN,4:08.283,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,2,3,4,,812,NETHERLANDS,7321,NED,4:10.373,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,2,4,3,,808,ITALY,7301,ITA,4:28.388,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,3,1,1,,811,KOREA,7300,KOR,4:06.720,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,3,2,2,,804,CHINA,7303,CHN,4:07.223,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,3,3,4,,803,CANADA,7309,CAN,4:07.393,q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,3000mRelay,m,Quarterfinals,3,4,3,,813,ROMANIA,7327,ROU,4:19.367,,
