season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,1,1,3,,194,CANADA,7312,CAN,4:17.477,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,1,2,1,,196,HUNGARY,7323,HUN,4:17.565,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,1,3,4,,200,NETHERLANDS,7322,NED,4:18.138,q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,1,4,2,,201,POLAND,7332,POL,4:24.718,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,2,1,1,,199,KOREA,7314,KOR,4:10.114,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,2,2,2,,195,GERMANY,7313,GER,4:16.614,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,2,3,3,,198,JAPAN,7304,JPN,4:21.302,q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,3,1,4,,197,ITALY,7317,ITA,4:17.494,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,3,2,2,,203,UNITEDSTATES,7316,USA,4:18.825,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,3,3,1,,192,BULGARIA,7335,BUL,4:27.875,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",3000mRelay,w,Heats,3,4,3,,202,RUSSIA,7315,RUS,4:27.902,
