season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,1,1,4,,905,FRANCE,7354,FRA,4:26.427,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,1,2,1,,906,GERMANY,7313,GER,4:26.840,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,1,3,2,,908,ITALY,7317,ITA,4:29.385,
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,1,4,3,,904,D.P.R.ofKorea,7555,PRK,4:30.196,
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,2,1,2,,903,KOREA,7314,KOR,4:17.325,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,2,2,1,,913,RUSSIA,7315,RUS,4:24.985,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,2,3,3,,907,HUNGARY,7323,HUN,4:26.422,
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,3,1,3,,902,CHINA,7311,CHN,4:18.535,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,3,2,2,,912,UNITEDSTATES,7316,USA,4:27.450,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,3,3,1,,910,NETHERLANDS,7322,NED,4:37.093,
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,4,1,1,,901,CANADA,7312,CAN,4:20.272,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,4,2,3,,909,JAPAN,7304,JPN,4:22.789,Q
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,4,3,4,,900,BULGARIA,7335,BUL,4:25.822,
2005-2006,"2005 World Cup 4, Netherlands",3000MRelay,w,Heats,4,4,2,,911,POLAND,7332,POL,4:38.544,
