season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, China, Changchun",3000mRelay,w,FinalB,1,1,1,,129,JAPAN,7304,JPN,4:21.015,
2006-2007,"ISU World Cup 2006/2007, China, Changchun",3000mRelay,w,FinalB,1,2,2,,139,GERMANY,7313,GER,4:21.646,
2006-2007,"ISU World Cup 2006/2007, China, Changchun",3000mRelay,w,FinalB,1,3,3,,142,UNITEDSTATES,7316,USA,4:28.985,
2006-2007,"ISU World Cup 2006/2007, China, Changchun",3000mRelay,w,FinalB,1,4,4,,141,RUSSIA,7315,RUS,4:29.050,
