race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,150,LEEJungSu,7266,KOR,1:28.599,Q,
0,2,4,,121,MaximeCHATAIGNIER,6106,FRA,1:28.784,Q,
0,3,3,,131,GaborGALAMBOS,6010,HUN,1:31.215,,
0,DQ,1,,109,MaximeFORTIN,7137,CAN,DQ,,
1,2,1,,111,GAOMing,7154,CHN,1:28.961,Q,
1,3,2,,122,JeremyMASSON,6173,FRA,1:30.427,,
1,4,4,,133,MarcoBERTOLDI,6180,ITA,1:30.470,,
2,1,1,,112,WEIJiguang,7155,CHN,1:32.810,Q,
2,2,2,,108,BEANNicholas,6128,CAN,1:32.987,Q,
2,3,3,,128,IanUPCOTT,7257,GBR,1:33.766,,
2,4,4,,135,ClaudioRINALDI,7261,ITA,1:33.848,,
3,1,1,,152,JANGWon-Hoon,7166,KOR,1:29.545,Q,
3,2,2,,132,ViktorKNOCH,6177,HUN,1:29.697,Q,
3,3,3,,107,VincentANDRE,7134,CAN,1:29.817,,
3,4,4,,167,JeffSIMON,7280,USA,2:15.061,,
