race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,27,DOTTITommaso,7604,ITA,2:22.766,Q
0,2,6,,202,FiratYARDIMCI,8520,TUR,2:22.870,Q
0,3,5,,138,BLUNDENKeanu,8593,AUS,2:23.059,q
0,4,1,,66,SHIJingnan,7728,CHN,2:23.276,
0,5,2,,129,FabriceDUFBERGSUH,8642,SWE,2:24.372,
0,6,3,,150,SeanMcANUFF,9198,IRL,2:26.667,
0,7,7,,133,MOODYJonathan,9102,GBR,notime,
1,1,1,,9,HANTianyu,8388,CHN,2:20.380,Q
1,2,2,,88,HirokiYOKOYAMA,7932,JPN,2:20.537,Q
1,3,7,,33,JacobJANSSON,8589,SWE,2:22.853,q
1,4,5,,50,GEORGIEVDimitar,8541,BUL,2:22.897,
1,5,6,,197,AdamTIMAR,8637,ROU,2:24.773,
1,6,3,,54,LucasNG,8067,SGP,2:24.902,
1,7,4,,194,MichalKLOSINSKI,9072,POL,2:25.158,
2,1,3,,183,CsabaBURJAN,7738,HUN,2:20.557,Q
2,2,6,,203,KRUZBERGSRoberts,9117,LAT,2:20.650,Q
2,3,7,,35,PierreBODA,7588,AUS,2:21.030,q
2,4,5,,46,ZacharyBIGGS,8635,NZL,2:22.403,
2,5,4,,196,KIMUnHyok,9325,PRK,2:22.499,
2,6,2,,149,TsvetanTSANKOV,7431,BUL,2:26.132,
2,DNS,1,,205,KOLENCMartin,8604,CRO,DNS,
3,1,6,,2,KNEGTSjinkie,7352,NED,2:15.306,Q
3,2,2,,26,JensALMEY,8595,BEL,2:15.882,Q
3,3,7,,38,SCHUBERTChristoph,7734,GER,2:17.164,q
3,4,4,,164,JasonCLAGUE,8636,NZL,2:19.250,
3,5,5,,171,GermanAndresTIRADOOVIEDO,9311,COL,2:20.814,
3,6,1,,199,BorLukaURLEP,8753,SLO,2:25.302,
3,7,3,,184,ARADHYAAkash,7739,IND,2:32.954,
4,1,5,,22,BYKANOVVladislav,6178,ISR,2:14.902,Q
4,2,1,,65,deLAATItzhak,7746,NED,2:15.500,Q
4,3,4,,41,NurbergenZHUMAGAZIYEV,7349,KAZ,2:15.548,q
4,4,6,,169,LiamO'BRIEN,9163,AUS,2:18.512,
4,5,2,,141,NEMIRONikita,9212,UKR,2:18.619,
4,6,7,,49,MARTINICIvan,8700,CRO,2:22.242,
4,7,3,,165,TSANGKeiWingKelvin,7735,HKG,2:35.731,
5,1,3,,19,WATANABEKeita,7605,JPN,2:18.058,Q
5,2,2,,47,SUJun-Peng,8643,TPE,2:20.070,Q
5,3,7,,51,SalvijusRAMANAUSKAS,9119,LTU,2:23.801,
5,4,1,,137,MenderesEREN,8351,TUR,2:27.240,
5,5,5,,48,TREACYFarrell,8392,GBR,2:40.289,ADV
5,6,4,,13,J.R.CELSKI,7279,USA,notime,ADV
5,PEN,6,,7,VictorAN,8344,RUS,PEN,
6,1,4,,75,AYRAPETYANDenis,8098,RUS,2:23.620,Q
6,2,3,,25,NAVARROTristan,8559,FRA,2:23.813,Q
6,3,1,,34,JoshuaCHEETHAM,7925,GBR,2:25.982,
6,4,6,,85,YauheniRYZHOU,7772,BLR,2:26.044,
6,5,2,,177,HANDEIOleh,9073,UKR,2:26.249,
6,6,5,,166,NicolasLABORDE,9096,COL,2:27.649,
6,7,7,,163,EmilIMRE,7943,ROU,2:29.108,
7,1,4,,188,KWAKYoon-Gy,6120,KOR,2:24.463,Q
7,2,5,,32,ThibautFAUCONNET,6785,FRA,2:24.676,Q
7,3,7,,105,CONFORTOLAYuri,6561,ITA,2:24.743,
7,4,3,,204,RobertoPUKITIS,7785,LAT,2:24.748,
7,5,1,,111,CHOEUnSong,9063,PRK,2:25.384,
7,6,6,,191,AugustinGERE,9270,LUX,2:25.649,
7,7,2,,121,AdamFILIPOWICZ,6156,POL,2:27.185,
8,1,2,,58,HWANGDaeHeon,9115,KOR,2:15.358,Q
8,2,1,,12,SemenELISTRATOV,7293,RUS,2:16.059,Q
8,3,4,,86,PIVIROTTORyan,8650,USA,2:16.511,q
8,4,5,,98,ANKai,9168,CHN,2:16.634,
8,5,3,,39,EdinBRANKOVIC,7256,BIH,2:20.073,
8,6,7,,147,ANDERMANNNico,8720,AUT,2:27.278,
8,7,6,,31,GOEMINNEGert-Jan,8707,BEL,2:42.329,
9,1,5,,10,ShaolinSandorLIU,7928,HUN,2:29.466,Q
9,2,6,,77,NicolaRODIGARI,6332,ITA,2:29.570,Q
9,3,7,,28,MaksimSIARHEYU,7771,BLR,2:29.961,
9,4,4,,37,EinarAGDESTEIN,8701,NOR,2:32.775,
9,5,2,,143,NIESCIERKarol,9126,POL,2:35.462,
9,6,3,,148,LIUHeinrich,9082,AUT,2:56.699,
9,7,1,,55,MukerremDENIZ,9211,TUR,notime,
10,1,3,,8,HAMELINCharles,6610,CAN,2:17.281,Q
10,2,7,,73,YOSHINAGAKazuki,8745,JPN,2:17.399,Q
10,3,2,,87,ThomasInsukHONG,8084,USA,2:18.067,q
10,4,5,,21,NIKISHADenis,8396,KAZ,2:18.402,
10,5,1,,120,VincentJEANNE,7890,FRA,2:39.400,
10,6,4,,181,NihadBASIC,7889,BIH,3:13.603,
10,PEN,6,,192,MURPHYPeter,9269,LUX,PEN,
11,1,4,,190,PARKSeYeong,7750,KOR,2:17.375,Q
11,2,6,,3,SamuelGIRARD,8600,CAN,2:17.437,Q
