season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
1996-1997,1997 European Championships,5000MRelay,m,Heats,1,1,2,,,FRANCE,7319,FRA,4:17.783,
1996-1997,1997 European Championships,5000MRelay,m,Heats,1,2,3,,,HUNGARY,7324,HUN,4:18.059,
1996-1997,1997 European Championships,5000MRelay,m,Heats,1,3,1,,,GREATBRITAIN,7320,GBR,4:19.066,
1996-1997,1997 European Championships,5000MRelay,m,Heats,1,4,4,,,UKRAINE,7308,UKR,4:57.807,
1996-1997,1997 European Championships,5000MRelay,m,Heats,2,1,1,,,NETHERLANDS,7321,NED,4:20.597,
1996-1997,1997 European Championships,5000MRelay,m,Heats,2,2,2,,,RUSSIA,7307,RUS,4:22.445,
1996-1997,1997 European Championships,5000MRelay,m,Heats,2,3,3,,,SWEDEN,8271,SWE,4:23.391,
1996-1997,1997 European Championships,5000MRelay,m,Heats,2,4,4,,,AUSTRIA,8122,AUT,4:46.351,
1996-1997,1997 European Championships,5000MRelay,m,Heats,3,1,1,,,ITALY,7301,ITA,4:14.515,
1996-1997,1997 European Championships,5000MRelay,m,Heats,3,2,3,,,Norway,8290,NOR,4:30.035,
1996-1997,1997 European Championships,5000MRelay,m,Heats,3,3,2,,,GERMANY,7302,GER,4:35.163,
