season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,1,1,1,,333,RUSSIA,9046,RUS,4:08.986,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,1,1,2,,317,ITALY,9039,ITA,4:08.986,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,1,3,3,,307,FRANCE,9042,FRA,4:31.176,
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,1,PEN,4,,314,HUNGARY,9043,HUN,PEN,
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,2,1,3,,305,CHINA,9048,CHN,4:06.554,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,2,2,2,,327,NETHERLANDS,9040,NED,4:15.617,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,2,3,1,,318,JAPAN,9047,JPN,4:19.991,q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,3,1,3,,324,KOREA,9044,KOR,4:06.293,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,3,2,2,,303,CANADA,9049,CAN,4:06.437,Q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,3,3,1,,338,UNITEDSTATES,9045,USA,4:09.703,q
2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",3000mRelay,w,Quarterfinals,3,4,4,,329,POLAND,9041,POL,4:09.845,
