season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,1,1,1,,112,FANKexin,7694,CHN,44.948,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,1,2,2,,134,YuiSAKAI,6229,JPN,45.033,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,1,3,3,,127,SzandraLAJTOS,6339,HUN,46.268,q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,1,4,4,,142,YANGShin-Young,7163,KOR,46.858,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,2,1,1,,108,JessicaHEWITT,7548,CAN,45.549,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,2,2,2,,113,LIJianrou,7910,CHN,45.579,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,2,3,3,,143,JorienterMORS,6146,NED,45.722,q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,2,4,4,,105,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,45.970,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,3,1,2,,164,KatherineREUTTER-ADAMEK,7255,USA,45.152,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,3,2,1,,131,VALCEPINAMartina,7159,ITA,45.925,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,3,3,4,,144,AnnitavanDOORN,6440,NED,1:02.485,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,3,4,3,,126,BernadettHEIDUM,6798,HUN,1:30.943,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,4,1,1,,114,LIUQiuhong,6286,CHN,45.157,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,4,3,4,,117,KaterinaNOVOTNA,6647,CZE,45.779,q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,4,4,3,,103,VeraANTANENKA,7099,BLR,47.183,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,5,1,1,,110,MarianneST-GELAIS,7216,CAN,45.425,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,5,2,2,,141,PARKSeung-Hi,7164,KOR,45.448,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,5,3,3,,163,LanaGEHRING,7254,USA,1:19.514,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,5,4,4,,148,PatrycjaMALISZEWSKA,6154,POL,1:21.624,,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,6,1,1,,128,AriannaFONTANA,6227,ITA,45.408,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,6,2,2,,107,Marie-EveDROLET,6059,CAN,45.527,Q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,6,3,3,,124,WALTERBianca,7232,GER,46.777,q,
2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",500m,w,Heats,6,4,4,,154,OlgaBELYAKOVA,7112,RUS,47.213,,
