season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1995-1996,1996 World Championships,3000MRelay,w,Heats,1,1,3,,,UNITEDSTATES,7316,USA,4:29.348,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,1,2,1,,,KOREA,7314,KOR,4:32.935,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,1,3,2,,,BULGARIA,7335,BUL,4:34.306,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,2,1,1,,,CANADA,7312,CAN,4:32.500,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,2,2,2,,,JAPAN,7310,JPN,4:37.482,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,2,3,3,,,NETHERLANDS,7322,NED,4:45.413,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,3,1,1,,,CHINA,7311,CHN,4:36.523,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,3,2,2,,,ITALY,7317,ITA,4:39.415,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,3,3,3,,,RUSSIA,7315,RUS,4:43.763,,
1995-1996,1996 World Championships,3000MRelay,w,Heats,3,4,4,,,GERMANY,7313,GER,4:46.398,,
