race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,120,CharleCOURNOYER,8063,CAN,41.704,Q
0,2,3,,209,SemenELISTRATOV,7293,RUS,41.758,Q
0,3,2,,167,CONFORTOLAYuri,6561,ITA,41.861,q
0,4,4,,148,PaulHERRMANN,6803,GER,43.337,
1,1,1,,128,WUDajing,7729,CHN,42.059,Q
1,2,2,,157,ViktorKNOCH,6177,HUN,42.189,Q
1,3,3,,169,AnthonyLOBELLO,8441,ITA,42.662,
1,4,4,,191,RobertoPUKITIS,7785,LAT,42.686,
2,1,2,,194,BREEUWSMADaan,7218,NED,41.893,Q
2,2,3,,180,AydarBEKZHANOV,7623,KAZ,41.968,Q
2,3,1,,127,LIANGWenhao,7594,CHN,42.022,q
2,4,4,,176,YuzoTAKAMIDO,7158,JPN,42.597,
3,1,1,,208,VictorAN,8344,RUS,41.734,Q
3,2,2,,129,YUJiyang,8435,CHN,42.177,Q
3,3,3,,186,LEEHan-Bin,7444,KOR,42.187,q
3,4,4,,133,VojtechLOUDIN,7597,CZE,43.377,
3,5,5,,193,RobertsZVEJNIEKS,8490,LAT,43.865,
4,1,1,,124,OlivierJEAN,6756,CAN,41.721,Q
4,2,4,,107,JUNGHyunWoo(Andy),8575,AUS,43.262,Q
4,3,3,,230,EduardoALVAREZ,7617,USA,1:03.348,ADV
4,PEN,2,,144,JonELEY,6592,GBR,PEN,
5,1,1,,140,LEPAPESebastien,7554,FRA,42.048,Q
5,2,3,,196,NielsKERSTHOLT,7067,NED,42.178,Q
5,3,2,,165,BYKANOVVladislav,6178,ISR,42.226,q
5,4,4,,192,SAULITISJekabs,7267,LAT,43.196,
6,1,1,,232,ChrisCREVELING,8440,USA,42.101,Q
6,2,2,,147,JackWHELBOURNE,7437,GBR,42.302,Q
6,3,3,,173,YoshiakiOGURO,7743,JPN,42.381,
6,4,4,,109,MathiasVOSTE,7888,BEL,43.516,
7,1,1,,189,PARKSeYeong,7750,KOR,42.295,Q
7,2,3,,158,ShaolinSandorLIU,7928,HUN,42.382,Q
7,3,4,,183,NurbergenZHUMAGAZIYEV,7349,KAZ,42.576,
7,4,2,,201,AdamFILIPOWICZ,6156,POL,1:14.653,
8,1,1,,231,J.R.CELSKI,7279,USA,42.017,Q
8,2,2,,174,SatoshiSAKASHITA,6183,JPN,42.293,Q
8,3,4,,236,BlakeSKJELLERUP,6549,NZL,43.406,
8,4,3,,104,PierreBODA,7588,AUS,43.451,
9,2,3,,152,RobertSEIFERT,6176,GER,41.937,Q
9,3,2,,146,PaulSTANLEY,7054,GBR,42.035,q
9,4,4,,154,LUIPanToBarton,7551,HKG,43.194,
10,1,1,,122,HAMELINCharles,6610,CAN,41.400,Q
10,2,2,,198,FreekvanderWART,7269,NED,41.724,Q
10,3,3,,187,LEEHo-Suk,6856,KOR,42.185,q
10,4,4,,139,VincentJEANNE,7890,FRA,43.060,
