season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,1,1,2,,73,LanaGEHRING,7254,USA,45.108,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,1,2,3,,20,KaterinaNOVOTNA,6647,CZE,45.258,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,1,3,4,,31,RozsaDARAZS,6797,HUN,45.760,q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,1,4,1,,7,RayaZAHARIEVA,7410,BUL,47.953,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,2,1,2,,64,EkaterinaBELOVA,6190,RUS,45.051,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,2,2,3,,10,ValerieLAMBERT,7132,CAN,45.109,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,2,3,4,,22,PIERRONVeronique,6196,FRA,45.378,q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,2,4,1,,45,HirokoSADAKANE,7226,JPN,45.455,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,3,1,4,,36,AriannaFONTANA,6227,ITA,45.125,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,3,2,1,,34,ErikaHUSZAR,6373,HUN,45.434,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,3,3,3,,54,LiesbethMAUASAM,6444,NED,45.532,q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,3,4,2,,28,JuliaRIEDEL,6287,GER,45.647,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,4,1,2,,1,TatianaBORODULINA,6684,AUS,45.245,Q
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",500m(1),w,Preliminaries,4,2,3,,9,JessicaHEWITT,7548,CAN,45.327,Q
