season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,1,2,3,,310,NETHERLANDS,7322,NED,4:17.509,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,1,3,2,,306,HUNGARY,7323,HUN,4:17.679,
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,2,1,3,,313,UNITEDSTATES,7316,USA,4:14.924,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,2,2,1,,311,POLAND,7332,POL,4:32.817,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,2,PEN,2,,308,JAPAN,7304,JPN,PEN,
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,3,1,2,,302,CANADA,7312,CAN,4:12.135,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,3,2,3,,307,ITALY,7317,ITA,4:12.323,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,3,3,1,,305,GREATBRITAIN,7331,GBR,4:18.751,
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,3,4,4,,301,BULGARIA,7335,BUL,4:28.644,
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,4,1,2,,309,KOREA,7314,KOR,4:12.162,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,4,2,1,,312,RUSSIA,7315,RUS,4:15.546,Q
2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",3000mRelay,w,Heats,4,3,3,,304,GERMANY,7313,GER,4:15.605,
