race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,92,DenisBELLOTTI,6807,ITA,2:23.212,Q
0,2,4,,69,LEFRANCOIS-GAUVREAUMathieu,6924,CAN,2:23.410,Q
0,3,2,,83,PaulHERRMANN,6803,GER,2:23.459,Q
0,4,5,,104,YOOJi-Hoon,6932,KOR,2:25.764,
0,5,1,,119,ViacheslavKURGINIAN,6934,RUS,2:38.245,
1,1,5,,72,SUIBaoKu,6416,CHN,2:21.612,Q
1,2,1,,93,CONFORTOLAYuri,6561,ITA,2:21.844,Q
1,3,3,,76,ThibautFAUCONNET,6785,FRA,2:22.188,Q
1,4,4,,62,ElliottSHRIANE,6846,AUS,2:26.061,
1,DNF,2,,68,MathieuGIROUX,6852,CAN,DNF,
2,1,1,,103,LEEHo-Suk,6856,KOR,2:35.553,Q
2,2,2,,94,DavideURBANI,6872,ITA,2:36.136,Q
2,3,3,,97,TakahiroFUJIMOTO,6277,JPN,2:36.410,Q
2,4,5,,113,JakubJAWORSKI,6816,POL,2:36.654,
2,DQ,4,,86,DavidManoLOTH,6804,HUN,DQ,
3,1,5,,70,MalcolmTHERRIEN,6925,CAN,2:23.406,Q
3,2,3,,80,JonELEY,6592,GBR,2:23.440,Q
3,3,4,,96,ShinichiTAGAMI,6929,JPN,2:23.598,Q
3,4,1,,85,PeterDARAZS,6465,HUN,2:25.922,
3,5,2,,112,DariuszKULESZA,6817,POL,2:27.221,
4,1,3,,73,HUZe,6926,CHN,2:39.695,Q
4,2,4,,95,JumpeiYOSHIZAWA,6577,JPN,2:39.773,Q
4,3,1,,102,KWONKi-Deok,6931,KOR,2:39.817,Q
4,4,2,,82,GuidoHEGENER,6466,GER,2:40.617,
4,5,5,,75,DELMEDICOVincent,7100,FRA,2:41.743,
5,1,3,,118,SergeyPRANKEVICH,7048,RUS,2:26.967,Q
5,2,5,,71,CUILiang,6906,CHN,2:27.058,Q
5,3,2,,81,PhilipBROJAKA,6801,GBR,2:27.663,Q
5,4,1,,63,AndrePULEC,6054,AUT,2:27.742,
5,5,4,,129,AnthonyLOBELLO,6958,USA,2:28.404,
