season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,1,1,2,,,CHINA,7311,CHN,4:20.494,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,1,2,1,,,CANADA,7312,CAN,4:23.339,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,1,3,3,,,NETHERLANDS,7322,NED,4:25.163,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,2,1,3,,,KOREA,7314,KOR,4:18.886,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,2,2,2,,,ITALY,7317,ITA,4:25.738,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,2,3,1,,,UNITEDSTATES,7316,USA,4:28.524,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,3,1,2,,,JAPAN,7304,JPN,4:23.549,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,3,2,1,,,GERMANY,7313,GER,4:25.683,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,3,3,4,,,RUSSIA,7315,RUS,4:34.212,
2001-2002,2001 Olympic Qualifier,3000MRelay,w,Heats,3,4,3,,,BULGARIA,7335,BUL,4:37.649,
