season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,1,1,3,,326,RUSSIA,9046,RUS,4:16.875,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,1,2,4,,308,FRANCE,9042,FRA,4:16.968,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,1,3,2,,337,UKRAINE,9050,UKR,4:27.822,q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,1,4,1,,310,GREATBRITAIN,9171,GBR,4:30.727,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,2,1,4,,315,ITALY,9039,ITA,4:08.724,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,2,2,3,,312,HUNGARY,9043,HUN,4:08.793,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,2,3,2,,339,BELARUS,9079,BLR,4:22.602,q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,2,4,1,,336,CZECHREPUBLIC,9065,CZE,4:24.240,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,3,1,2,,322,NETHERLANDS,9040,NED,4:10.945,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,3,2,1,,309,GERMANY,9080,GER,4:14.480,Q,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,3,3,4,,338,CROATIA,9326,CRO,4:35.219,,
2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),3000mRelay,w,Heats,3,PEN,3,,324,POLAND,9041,POL,PEN,,
