season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,1,1,2,,319,JAPAN,9024,JPN,6:58.076,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,1,2,3,,315,ITALY,9023,ITA,6:58.889,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,1,3,4,,321,KAZAKHSTAN,9025,KAZ,7:02.256,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,1,PEN,1,,303,CANADA,9016,CAN,PEN,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,2,1,2,,323,KOREA,9026,KOR,6:43.653,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,2,2,1,,312,HUNGARY,9021,HUN,6:43.804,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,2,3,3,,306,CHINA,9022,CHN,6:45.295,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,2,4,4,,310,GERMANY,9020,GER,6:51.411,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,3,2,3,,338,UNITEDSTATES,9032,USA,6:53.080,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,3,3,4,,309,FRANCE,9018,FRA,6:55.983,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),5000mRelay,m,Quarterfinals,3,PEN,2,,325,NETHERLANDS,9027,NED,PEN,
