race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,142,MIYATAShogo,9460,JPN,1:27.067,Q,
0,2,1,,117,LIWenlong,9453,CHN,1:27.194,Q,
0,3,4,,171,IVLIEVKonstantin,9417,RUS,1:27.855,q,
0,4,3,,122,SELLIERDiane,9237,FRA,1:27.943,,
0,5,5,,138,SIGHELPietro,9251,ITA,1:28.066,,
1,1,1,,120,WANGPengyu,9231,CHN,1:27.896,Q,
1,2,2,,161,BramSTEENAART,9278,NED,1:28.024,Q,
1,3,3,,137,PietroMARINELLI,9249,ITA,1:28.475,,
1,4,4,,155,MURPHYPeter,9269,LUX,1:29.338,,
1,5,5,,167,KrystianGISZKA,9285,POL,1:31.536,,
2,1,1,,150,JUNGHokYoung,9266,KOR,1:28.553,Q,
2,2,2,,118,SONGJian,9572,CHN,1:29.169,Q,
2,3,3,,144,NurlibekBEISEEV,8715,KAZ,1:29.221,,
2,4,4,,194,BrandonKIM,9303,USA,1:29.619,,
2,5,5,,181,DJORDJEVICJovan,9295,SRB,1:30.900,,
3,1,1,,151,KIMTaeSung,9540,KOR,1:28.216,Q,
3,2,4,,115,NicolasPERREAULT,9513,CAN,1:28.451,Q,
3,3,3,,152,ReinisBERZINS,9267,LAT,1:28.564,,
3,4,2,,126,TREACYNiall,9390,GBR,1:28.778,,
3,PEN,5,,174,AlekseySIMAKIN,9560,RUS,PEN,,
4,1,2,,160,ROESSven,9487,NED,1:29.220,Q,
4,2,5,,104,JoshuaKAH,9214,AUS,1:29.954,Q,
4,3,4,,135,TIBORCZDaniel,9106,HUN,1:31.768,,
4,4,3,,129,TENZERRobin,9528,GER,1:32.620,ADV,
4,PEN,1,,146,SHAMUKHANOVYerkebulan,8672,KAZ,PEN,,
5,1,1,,149,CHANGHyunWoo,9539,KOR,1:26.255,Q,
5,2,2,,134,TALABOSAttila,9243,HUN,1:26.417,Q,
5,3,4,,124,PeterRICHES,9525,GBR,1:27.436,q,
5,4,3,,170,MateuszMIKOLAJUK,9556,POL,1:28.716,,
5,5,5,,102,DenaliBLUNDEN,9081,AUS,1:34.175,,
6,1,1,,153,KRUZBERGSRoberts,9117,LAT,1:30.441,Q,
6,2,4,,143,YOSHINAGAKazuki,8745,JPN,1:30.559,Q,
6,3,5,,106,ANDERMANNNico,8720,AUT,1:30.616,,
6,4,3,,192,NEMIRONikita,9212,UKR,1:46.923,,
6,5,2,,145,GlebIVCHENKO,9406,KAZ,notime,,
7,1,3,,139,LucaSPECHENHAUSER,9398,ITA,1:26.950,Q,
7,2,5,,114,MatejPEDERSON,9512,CAN,1:26.965,Q,
7,3,1,,173,MILOVANOVSergei,9289,RUS,1:26.973,q,
7,4,4,,133,AndrasSZIKLASI,9053,HUN,1:27.215,,
7,5,2,,154,AugustinGERE,9270,LUX,1:27.554,,
