season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,1,1,1,,46,CHOIMinJeong,8625,KOR,1:33.123,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,1,2,2,,9,KimBOUTIN,8542,CAN,1:33.376,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,1,3,3,,14,HANYuTong,8365,CHN,1:33.422,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,1,4,4,,8,MANOILOVAKatrin,8539,BUL,1:33.857,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,2,2,3,,11,NamastheeHARRIS-GAUTHIER,8544,CAN,1:30.611,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,2,3,4,,67,EkaterinaSTRELKOVA,8378,RUS,1:30.675,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,2,4,1,,49,AgneSEREIKAITE,7708,LTU,1:31.129,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,2,5,5,,61,MagdalenaWARAKOMSKA,8502,POL,1:32.667,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,3,1,2,,45,AHNSeJung,7985,KOR,1:38.248,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,3,2,4,,68,ZAKHAROVAEvgeniya,7715,RUS,1:38.358,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,3,3,1,,13,GUOYihan,8364,CHN,1:38.534,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,3,4,3,,26,AnnaSEIDEL,8562,GER,1:38.691,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,4,1,1,,16,XIAOHan,7962,CHN,1:31.667,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,4,2,3,,39,KIKUCHISumire,7980,JPN,1:32.183,Q,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,4,3,2,,12,AudreyPHANEUF,8360,CAN,1:32.452,,
2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1000m,w,Quarterfinals,4,PEN,4,,66,PROSVIRNOVASofia,8509,RUS,PEN,,
