season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,1,1,3,,17,PIERRONVeronique,6196,FRA,45.214,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,1,2,1,,19,CharlotteGILMARTIN,7136,GBR,45.407,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,1,3,4,,3,VeraANTANENKA,7099,BLR,45.554,q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,1,4,2,,16,AinaraEQUISOAIN,7790,ESP,49.632,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,2,1,1,,14,KaterinaNOVOTNA,6647,CZE,45.022,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,2,2,2,,8,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,45.487,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,2,3,3,,50,TundeBALAZS,7883,ROU,47.415,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,2,4,4,,57,KristinaPAPP,6028,SRB,56.257,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,3,1,3,,45,AidaBELLA,7538,POL,46.850,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,3,2,4,,37,EvitaKRIEVANE,6833,LAT,47.092,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,3,3,1,,51,RenataSZOCS,7988,ROU,47.254,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,3,DNS,2,,18,CHRISTIEElise,7135,GBR,DNS,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,4,1,3,,53,OlgaBELYAKOVA,7112,RUS,45.977,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,4,2,2,,33,CeciliaMAFFEI,6559,ITA,46.159,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,4,3,4,,58,TatianaBODOVA,7250,SVK,46.246,q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,4,4,1,,13,SaraBLEKIC,7973,CRO,50.123,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Preliminaries,5,1,1,,35,VALCEPINAMartina,7159,ITA,44.869,Q,
