season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,1,1,4,,184,GERMANY,7302,GER,7:13.061,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,1,2,2,,186,HUNGARY,7324,HUN,7:13.173,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,1,3,1,,192,UKRAINE,7308,UKR,7:14.855,q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,1,4,3,,189,POLAND,7326,POL,7:30.225,ADV,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,2,1,2,,190,RUSSIA,7307,RUS,7:08.943,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,2,2,1,,185,GREATBRITAIN,7320,GBR,7:15.838,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,2,3,3,,181,BELARUS,7399,BLR,7:36.481,,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,2,DQ,4,,182,BULGARIA,7392,BUL,DQ,,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,3,1,2,,187,ITALY,7301,ITA,7:07.516,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,3,2,3,,188,NETHERLANDS,7321,NED,7:15.054,Q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,3,3,1,,183,FRANCE,7319,FRA,7:15.094,q,
2007-2008,"2008 ISU European Championships, Latvia",5000mRelay,m,Heats,3,4,4,,191,SLOVAKIA,7328,SVK,7:36.240,,
