race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,,TakafumiNISHITANI,6323,JPN,42.920,
0,2,3,,,MINRyoung,6619,KOR,43.208,
0,3,4,,,ANYulong,6656,CHN,43.305,
0,4,2,,,EricBEDARD,6703,CAN,44.215,
1,1,3,,,FENGKai,6058,CHN,43.366,
1,2,4,,,BrunoLOSCOS,6643,FRA,43.442,
1,3,2,,,Francois-LouisTREMBLAY,6704,CAN,43.984,
1,DQ,1,,,ApoloAntonOHNO,6497,USA,DQ,
2,2,2,,,LIJiajun,7095,CHN,43.424,
2,3,3,,,NicolaRODIGARI,6332,ITA,43.550,
2,4,4,,,MicheleANTONIOLI,6330,ITA,43.560,
3,1,1,,,RustySMITH,6496,USA,43.186,
3,2,2,,,KIMDong-Sung,6944,KOR,43.297,
3,3,3,,,FabioCARTA,6001,ITA,43.409,
3,4,4,,,LEESeung-Jae,6621,KOR,43.768,
