season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,1,1,1,,621,NETHERLANDS,7321,NED,6:58.345,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,1,2,2,,617,GREATBRITAIN,7320,GBR,6:59.129,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,1,3,3,,614,CHINA,7303,CHN,6:59.195,
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,1,4,4,,618,HUNGARY,7324,HUN,7:29.659,
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,2,1,2,,619,ITALY,7301,ITA,7:01.743,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,2,3,1,,624,UKRAINE,7308,UKR,7:13.507,
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,2,4,3,,612,BULGARIA,7392,BUL,7:36.273,
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,3,1,3,,620,JAPAN,7310,JPN,6:57.290,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,3,2,2,,616,GERMANY,7302,GER,6:58.828,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,3,3,1,,622,KOREA,7300,KOR,7:01.710,
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,4,1,2,,613,CANADA,7309,CAN,6:55.382,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,4,2,3,,615,FRANCE,7319,FRA,7:00.156,Q
2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",5000mRelay,m,Heats,4,DQ,1,,623,RUSSIA,7307,RUS,DQ,
