race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,2,2,,137,ShaoangLIU,8564,HUN,42.310,Q,
0,3,4,,160,RobertsZVEJNIEKS,8490,LAT,43.392,,
0,4,3,,163,LeonBLOEMHOF,8634,NED,notime,,
1,1,2,,121,RENZiwei,8601,CHN,42.688,Q,
1,2,1,,157,PARKJiWon,8765,KOR,42.770,Q,
1,3,3,,108,JensALMEY,8595,BEL,43.034,,
2,1,1,,151,NIKISHADenis,8396,KAZ,42.123,Q,
2,2,3,,116,AlexanderFATHOULLIN,8546,CAN,42.234,Q,
2,3,2,,148,KIKUCHIKota,8620,JPN,42.731,,
2,4,4,,130,KAUFMANN-LUDWIGLeon,8391,GER,42.841,,
3,1,2,,122,XUHongzhi,8070,CHN,42.033,Q,
3,2,4,,138,ShaolinSandorLIU,7928,HUN,42.343,Q,
3,3,1,,171,ArtemDENISOV,8751,RUS,42.549,,
3,PEN,3,,156,LIMYongJin,8767,KOR,PEN,,
