season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,1,1,4,,314,CHINA,7303,CHN,6:56.600,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,1,2,1,,317,GREATBRITAIN,7320,GBR,6:59.702,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,1,3,2,,321,KAZAKHSTAN,7356,KAZ,7:04.326,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,1,4,3,,312,AUSTRALIA,7305,AUS,7:05.562,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,2,2,2,,327,UNITEDSTATES,7306,USA,6:56.621,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,2,3,4,,315,FRANCE,7319,FRA,6:56.622,ADV
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,2,PEN,1,,316,GERMANY,7302,GER,PEN,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,3,1,3,,323,NETHERLANDS,7321,NED,7:02.672,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,3,2,2,,319,ITALY,7301,ITA,7:05.492,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,3,3,1,,326,UKRAINE,7308,UKR,7:15.554,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,3,PEN,4,,325,RUSSIA,7307,RUS,PEN,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,4,1,4,,313,CANADA,7309,CAN,6:56.853,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,4,2,1,,320,JAPAN,7310,JPN,6:56.990,Q
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,4,3,2,,318,HUNGARY,7324,HUN,7:06.737,
2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",5000mRelay,m,Heats,4,4,3,,324,POLAND,7326,POL,7:17.893,
