season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,1,2,1,,906,NETHERLANDS,7322,NED,4:21.512,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,1,3,2,,899,BULGARIA,7335,BUL,4:23.781,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,2,1,2,,900,CANADA,7312,CAN,4:19.220,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,2,2,4,,904,ITALY,7317,ITA,4:23.849,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,2,3,1,,908,RUSSIA,7315,RUS,4:28.534,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,2,4,3,,928,POLAND,7332,POL,4:29.803,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,3,1,3,,905,JAPAN,7304,JPN,4:22.165,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,3,2,2,,907,KOREA,7314,KOR,4:23.415,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,3,DQ,1,,902,GERMANY,7313,GER,DQ,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,4,1,2,,909,UNITEDSTATES,7316,USA,4:24.822,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,4,2,3,,903,HUNGARY,7323,HUN,4:42.632,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",3000mRelay,w,Quarterfinals,4,DQ,1,,929,GREATBRITAIN,7331,GBR,DQ,
