season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,1,1,3,,327,JAPAN,9024,JPN,6:45.569,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,1,2,2,,314,FRANCE,9018,FRA,6:45.740,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,1,3,1,,305,CANADA,9016,CAN,6:49.203,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,1,4,4,,336,LATVIA,9034,LAT,7:05.494,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,2,1,4,,310,CHINA,9022,CHN,6:50.062,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,2,2,2,,333,KOREA,9026,KOR,6:50.349,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,2,3,3,,341,POLAND,9028,POL,6:58.897,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,2,4,1,,320,GREATBRITAIN,9019,GBR,7:09.042,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,3,1,4,,324,ITALY,9023,ITA,6:49.848,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,3,2,2,,350,UNITEDSTATES,9032,USA,7:05.662,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,3,3,3,,318,GERMANY,9020,GER,7:06.090,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,3,4,5,,348,UKRAINE,9031,UKR,7:27.264,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,4,1,2,,345,RUSSIA,9029,RUS,6:57.991,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,4,2,3,,338,NETHERLANDS,9027,NED,6:58.155,Q
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,4,3,1,,301,AUSTRALIA,9012,AUS,7:05.737,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,4,4,4,,346,TURKEY,9030,TUR,7:14.441,
2018-2019,ISU World Cup 2018/19 - Torino (ITA),5000mRelay,m,Quarterfinals,4,PEN,5,,331,KAZAKHSTAN,9025,KAZ,PEN,
