season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,1,1,1,,,JAPAN,7304,JPN,2:51.701,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,1,2,2,,,ITALY,7301,ITA,2:52.424,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,1,3,4,,,CZECHREPUBLIC,7325,CZE,2:59.136,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,1,DNS,3,,,YUGOSLAVIA,8249,SCG,DNS,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,2,1,4,,,KOREA,7300,KOR,2:52.759,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,2,2,2,,,POLAND,7326,POL,2:59.395,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,2,3,1,,,RUSSIA,7307,RUS,3:05.704,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,2,DQ,3,,,KAZAKHSTAN,7356,KAZ,DQ,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,3,1,4,,,UNITEDSTATES,7306,USA,2:54.134,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,3,2,3,,,GERMANY,7302,GER,2:54.806,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,3,3,2,,,GREATBRITAIN,7320,GBR,2:55.437,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,3,4,1,,,SLOVAKIA,7328,SVK,2:58.685,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,4,1,4,,,NETHERLANDS,7321,NED,2:54.868,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,4,2,2,,,CHINA,7303,CHN,2:54.898,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,4,3,1,,,HUNGARY,7324,HUN,2:59.873,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,4,4,3,,,AUSTRIA,8122,AUT,3:09.559,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,5,1,3,,,CANADA,7309,CAN,3:01.800,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,5,2,1,,,BULGARIA,7392,BUL,3:03.580,
2000-2001,2001 World Junior Championships,2000MRelay,m,Heats,5,DNS,2,,,LITHUANIA,8250,LTU,DNS,
