season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,1,1,2,,,CANADA,7309,CAN,7:12.289,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,1,2,1,,,NETHERLANDS,7321,NED,7:17.264,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,1,3,3,,,SLOVAKIA,7328,SVK,7:17.887,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,2,1,2,,,KOREA,7300,KOR,7:06.441,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,2,2,1,,,ITALY,7301,ITA,7:06.611,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,2,3,3,,,GERMANY,7302,GER,7:12.387,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,3,1,1,,,CHINA,7303,CHN,7:18.468,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,3,2,2,,,HUNGARY,7324,HUN,7:19.422,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,3,3,3,,,GREATBRITAIN,7320,GBR,7:21.185,
2000-2001,2001 World Cup - Trnava,5000MRelay,m,Heats,3,4,4,,,AUSTRALIA,7305,AUS,7:30.761,
