season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,1,1,3,,184,HUNGARY,7324,HUN,4:08.318,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,1,2,2,,190,RUSSIA,7307,RUS,4:08.405,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,1,3,1,,183,GREATBRITAIN,7320,GBR,4:21.839,,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,1,4,4,,187,KAZAKHSTAN,7356,KAZ,4:29.072,,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,2,1,3,,188,KOREA,7300,KOR,4:00.649,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,2,2,1,,192,UNITEDSTATES,7306,USA,4:07.679,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,2,3,2,,185,ITALY,7301,ITA,4:08.580,,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,3,1,2,,181,CHINA,7303,CHN,4:07.289,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,3,2,1,,189,NETHERLANDS,7321,NED,4:11.922,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,3,3,4,,179,AUSTRALIA,7305,AUS,4:16.882,,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,3,4,3,,191,TURKEY,7789,TUR,4:26.427,,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,4,1,1,,186,JAPAN,7310,JPN,4:11.751,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,4,2,2,,182,GERMANY,7302,GER,4:12.698,Q,
2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",3000MRelay,m,Heats,4,3,3,,180,CANADA,7309,CAN,4:18.607,,
