season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,1,1,4,,187,KOREA,7314,KOR,4:16.885,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,1,2,2,,183,CANADA,7312,CAN,4:16.979,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,1,3,1,,189,POLAND,7332,POL,4:24.390,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,1,4,3,,188,NETHERLANDS,7322,NED,4:32.908,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,2,2,2,,190,RUSSIA,7315,RUS,4:26.636,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,2,3,3,,185,GERMANY,7313,GER,4:26.964,
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,3,1,3,,191,UNITEDSTATES,7316,USA,4:20.571,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,3,2,2,,186,JAPAN,7304,JPN,4:20.768,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,3,3,1,,182,BULGARIA,7335,BUL,4:21.855,q
2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",3000mRelay,w,Heats,3,4,4,,184,FRANCE,7354,FRA,4:32.571,
