race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,5,,25,NurbergenZHUMAGAZIYEV,7349,KAZ,1:30.480,Q
0,3,1,,62,NAVARROTristan,8559,FRA,1:30.891,Q
0,4,3,,129,TsvetanTSANKOV,7431,BUL,1:32.255,
0,5,2,,156,BejaminWHITESIDE,8405,NZL,1:34.450,
1,1,2,,5,SemenELISTRATOV,7293,RUS,1:28.286,Q
1,2,1,,149,DennisVISSER,8498,NED,1:29.360,Q
1,3,4,,145,KlaudioNASRI,8540,BUL,1:29.967,Q
1,4,5,,96,JoshuaCHEETHAM,7925,GBR,1:32.174,ADV
1,PEN,3,,31,TorstenKROEGER,7141,GER,PEN,
2,1,5,,4,HAMELINCharles,6610,CAN,1:31.328,Q
2,2,2,,177,TRANAaron,8528,USA,1:31.671,Q
2,3,1,,33,PierreBODA,7588,AUS,1:31.826,Q
2,4,4,,153,ANIKEJRafal,8749,POL,1:31.919,
2,5,3,,152,deVinWONG,8401,MAS,1:40.551,
3,1,4,,1,KNEGTSjinkie,7352,NED,1:27.921,Q
3,2,3,,27,DmitryMIGUNOV,7755,RUS,1:28.737,Q
3,3,5,,173,ChrisCREVELING,8440,USA,1:28.828,Q
3,4,1,,59,YoshiakiOGURO,7743,JPN,1:28.936,
3,5,2,,167,MurrayCOCHRANE,7927,GBR,1:29.462,
4,1,2,,45,KWAKYoon-Gy,6120,KOR,1:29.544,Q
4,2,4,,30,NIKISHADenis,8396,KAZ,1:29.713,Q
4,3,1,,154,TREACYFarrell,8392,GBR,1:29.943,Q
4,4,3,,74,CASSINELLIAndrea,7741,ITA,1:31.263,
5,1,5,,22,John-HenryKRUEGER,7763,USA,1:28.171,Q
5,2,4,,170,RENZiwei,8601,CHN,1:28.226,Q
5,3,1,,11,SEOYiRa,7940,KOR,1:28.277,Q
5,4,3,,69,SCHUBERTChristoph,7734,GER,1:28.539,
5,5,2,,32,JUNGHyunWoo(Andy),8575,AUS,1:28.934,
6,1,2,,148,CharleCOURNOYER,8063,CAN,1:27.900,Q
6,2,1,,163,KIMJoonChun,9006,KOR,1:28.065,Q
6,3,4,,44,VladimirGRIGOREV,7826,RUS,1:28.183,Q
6,4,3,,106,CsabaBURJAN,7738,HUN,1:34.037,
7,1,4,,14,ViktorKNOCH,6177,HUN,1:35.181,Q
7,2,1,,15,HirokiYOKOYAMA,7932,JPN,1:35.437,Q
7,3,2,,132,JasonCLAGUE,8636,NZL,1:37.569,Q
7,4,3,,166,CHUSidneyK,9056,HKG,1:38.500,
7,DNS,5,,3,WUDajing,7729,CHN,DNS,
8,1,4,,19,SamuelGIRARD,8600,CAN,1:33.479,Q
8,2,1,,26,DOTTITommaso,7604,ITA,1:33.899,Q
8,3,2,,80,VincentJEANNE,7890,FRA,1:33.920,Q
8,4,3,,37,MaksimSIARHEYU,7771,BLR,1:34.742,
9,1,4,,6,ShaolinSandorLIU,7928,HUN,1:32.779,Q
9,2,3,,20,FreekvanderWART,7269,NED,1:32.858,Q
9,3,1,,151,FERCOQQuentin,8605,FRA,1:32.988,Q
9,4,2,,79,NicolaRODIGARI,6332,ITA,1:33.264,
