season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,1,1,2,,324,KOREA,9044,KOR,4:11.772,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,1,3,1,,307,FRANCE,9042,FRA,4:13.831,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,1,4,3,,337,UNITEDSTATES,9045,USA,4:14.066,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2,1,3,,333,RUSSIA,9046,RUS,4:19.545,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2,2,1,,317,ITALY,9039,ITA,4:19.781,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2,PEN,2,,318,JAPAN,9047,JPN,PEN,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,3,1,2,,327,NETHERLANDS,9040,NED,4:12.694,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,3,2,3,,302,CANADA,9049,CAN,4:13.584,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,3,3,4,,330,POLAND,9041,POL,4:13.675,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,3,4,1,,314,HUNGARY,9043,HUN,4:26.048,
