season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1996-1997,1997 World Championships,500M,m,Heats,1,1,1,,,FENGKai,6058,CHN,44.096,,
1996-1997,1997 World Championships,500M,m,Heats,1,2,4,,,ZsoltLAJOS,6493,HUN,44.100,,
1996-1997,1997 World Championships,500M,m,Heats,1,3,5,,,AdamFILLMORE,6690,RSA,46.151,,
1996-1997,1997 World Championships,500M,m,Heats,1,4,2,,,KIMSun-Tae,6968,KOR,1:03.294,,
1996-1997,1997 World Championships,500M,m,Heats,1,DQ,3,,,BrunoLOSCOS,6643,FRA,DQ,,
1996-1997,1997 World Championships,500M,m,Heats,2,1,1,,,MarcGAGNON,6701,CAN,43.728,,
1996-1997,1997 World Championships,500M,m,Heats,2,2,2,,,GABELAndy,6967,USA,44.149,,
1996-1997,1997 World Championships,500M,m,Heats,2,DQ,4,,,JoostSMIT,6541,NED,DQ,,
1996-1997,1997 World Championships,500M,m,Heats,3,1,1,,,SatoruTERAO,6320,JPN,43.630,,
1996-1997,1997 World Championships,500M,m,Heats,3,2,2,,,MartinJOHANSSON,6509,SWE,43.665,,
1996-1997,1997 World Championships,500M,m,Heats,3,3,3,,,HANSENKieran,6993,AUS,44.579,,
1996-1997,1997 World Championships,500M,m,Heats,3,4,4,,,NikolayFEDORENKO,6312,KAZ,45.689,,
1996-1997,1997 World Championships,500M,m,Heats,4,1,3,,,EricBEDARD,6703,CAN,44.296,,
1996-1997,1997 World Championships,500M,m,Heats,4,2,2,,,StevenBRADBURY,6430,AUS,56.675,,
1996-1997,1997 World Championships,500M,m,Heats,4,3,1,,,MirkoVUILLERMIN,6727,ITA,57.203,,
1996-1997,1997 World Championships,500M,m,Heats,4,DQ,4,,,IVLIEVAlexei,6994,RUS,DQ,,
1996-1997,1997 World Championships,500M,m,Heats,4,DQ,5,,,NickyGOOCH,6640,GBR,DQ,,
1996-1997,1997 World Championships,500M,m,Heats,5,1,1,,,LIJiajun,7095,CHN,43.244,,
1996-1997,1997 World Championships,500M,m,Heats,5,2,3,,,UEMATSUHitoshi,6507,JPN,43.551,,
1996-1997,1997 World Championships,500M,m,Heats,5,3,2,,,DaveVERSTEEG,6540,NED,43.737,,
1996-1997,1997 World Championships,500M,m,Heats,5,4,4,,,MatthewJASPER,7093,GBR,43.892,,
1996-1997,1997 World Championships,500M,m,Heats,6,1,3,,,DerrickCAMPBELL,6749,CAN,43.529,,
1996-1997,1997 World Championships,500M,m,Heats,6,2,1,,,FAGONEOrazio,6722,ITA,43.552,,
1996-1997,1997 World Championships,500M,m,Heats,6,3,2,,,ApoloAntonOHNO,6497,USA,43.843,,
1996-1997,1997 World Championships,500M,m,Heats,6,4,4,,,ArianNACHBAR,6637,GER,44.067,,
1996-1997,1997 World Championships,500M,m,Heats,7,1,2,,,ROWEMatthew,6489,GBR,45.395,,
1996-1997,1997 World Championships,500M,m,Heats,7,2,5,,,STANAWAYMark,6692,NZL,45.822,,
1996-1997,1997 World Championships,500M,m,Heats,7,3,4,,,ChristianLUKAS,6631,AUT,47.882,,
1996-1997,1997 World Championships,500M,m,Heats,7,4,3,,,StijnTURCKSIN,6697,BEL,1:05.151,,
1996-1997,1997 World Championships,500M,m,Heats,7,DQ,1,,,LEEJun-Hwan,6743,KOR,DQ,,
1996-1997,1997 World Championships,500M,m,Heats,8,1,1,,,KIMDong-Sung,6944,KOR,44.131,,
1996-1997,1997 World Championships,500M,m,Heats,8,2,2,,,FabioCARTA,6001,ITA,44.624,,
1996-1997,1997 World Championships,500M,m,Heats,8,3,3,,,YevgenYAKOVLEV,6751,UKR,45.054,,
1996-1997,1997 World Championships,500M,m,Heats,8,4,4,,,SANSARBILEGBold,6889,MGL,50.179,,
