season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1996-1997,1997 World Championships,1500M,w,Heats,1,1,6,,,KIMYun-Mi,6480,KOR,2:34.294,,
1996-1997,1997 World Championships,1500M,w,Heats,1,2,1,,,ErinPORTER,6532,USA,2:34.382,,
1996-1997,1997 World Championships,1500M,w,Heats,1,3,2,,,EllenWIEGERS,6555,NED,2:35.360,,
1996-1997,1997 World Championships,1500M,w,Heats,1,4,5,,,PYLAEVAMarina,6981,RUS,2:38.420,,
1996-1997,1997 World Championships,1500M,w,Heats,1,5,3,,,NataliaSVERCHKOVA,6732,UKR,2:39.338,,
1996-1997,1997 World Championships,1500M,w,Heats,1,6,4,,,MANSOURRanda,6015,AUT,2:45.238,,
1996-1997,1997 World Championships,1500M,w,Heats,2,1,1,,,CHUNLee-Kyung,6869,KOR,2:45.408,,
1996-1997,1997 World Championships,1500M,w,Heats,2,2,4,,,YANGsYang,6651,CHN,2:45.518,,
1996-1997,1997 World Championships,1500M,w,Heats,2,3,2,,,YvonneKUNZE,6363,GER,2:46.088,,
1996-1997,1997 World Championships,1500M,w,Heats,2,4,5,,,ChristineBOUDRIAS,7061,CAN,2:46.652,,
1996-1997,1997 World Championships,1500M,w,Heats,2,5,3,,,DALYJanet,6990,AUS,2:47.730,,
1996-1997,1997 World Championships,1500M,w,Heats,3,1,4,,,LAMBERTNathalie,6014,CAN,2:30.391,,
1996-1997,1997 World Championships,1500M,w,Heats,3,2,5,,,ChikageTANAKA,6314,JPN,2:30.505,,
1996-1997,1997 World Championships,1500M,w,Heats,3,3,1,,,MarinellaCANCLINI,6327,ITA,2:30.587,,
1996-1997,1997 World Championships,1500M,w,Heats,3,4,3,,,TIKHANINAElena,6477,RUS,2:30.643,,
1996-1997,1997 World Championships,1500M,w,Heats,3,5,6,,,AnkeJannieLANDMAN,6538,NED,2:31.490,,
1996-1997,1997 World Championships,1500M,w,Heats,3,6,2,,,EvgeniaRADANOVA,6775,BUL,2:34.824,,
1996-1997,1997 World Championships,1500M,w,Heats,4,1,6,,,YANGAYang,6649,CHN,2:38.161,,
1996-1997,1997 World Championships,1500M,w,Heats,4,2,1,,,IsabelleCHAREST,6700,CAN,2:38.277,,
1996-1997,1997 World Championships,1500M,w,Heats,4,3,2,,,DebbiePALMER,6638,GBR,2:38.624,,
1996-1997,1997 World Championships,1500M,w,Heats,4,4,5,,,MaraURBANI,6946,ITA,2:39.143,,
1996-1997,1997 World Championships,1500M,w,Heats,4,5,4,,,PETROVANataliya,6991,KAZ,2:42.568,,
1996-1997,1997 World Championships,1500M,w,Heats,4,6,3,,,SZABOLCSISzilvia,6983,HUN,2:43.025,,
1996-1997,1997 World Championships,1500M,w,Heats,5,1,4,,,WONHye-Kyung,6759,KOR,2:35.717,,
1996-1997,1997 World Championships,1500M,w,Heats,5,2,2,,,IkueTESHIGAWARA,6315,JPN,2:35.814,,
1996-1997,1997 World Championships,1500M,w,Heats,5,3,1,,,WANGChunlu,6648,CHN,2:35.939,,
1996-1997,1997 World Championships,1500M,w,Heats,5,4,6,,,PEREVALOIrina,6992,UKR,2:42.410,,
1996-1997,1997 World Championships,1500M,w,Heats,5,5,5,,,JulieGOSKOWICZ,6939,USA,2:44.858,,
1996-1997,1997 World Championships,1500M,w,Heats,5,6,3,,,KARELINOlga,6984,ISR,3:00.240,,
