season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,1,1,2,,320,KOREA,9044,KOR,4:24.700,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,1,2,1,,326,RUSSIA,9046,RUS,4:28.338,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,1,3,3,,331,CZECHREPUBLIC,9065,CZE,4:34.710,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,2,1,4,,328,UNITEDSTATES,9045,USA,4:33.640,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,2,2,1,,315,ITALY,9039,ITA,4:33.930,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,2,3,3,,319,KAZAKHSTAN,9149,KAZ,4:34.050,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,2,4,2,,330,BELARUS,9079,BLR,4:37.252,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,3,1,1,,322,NETHERLANDS,9040,NED,4:27.564,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,3,2,2,,317,JAPAN,9047,JPN,4:27.649,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,3,3,3,,312,HUNGARY,9043,HUN,4:28.259,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,4,1,1,,304,CANADA,9049,CAN,4:29.312,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,4,2,3,,324,POLAND,9041,POL,4:31.127,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,w,Heats,4,3,2,,333,UKRAINE,9050,UKR,5:07.699,,
