season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,1,1,,25,NurbergenZHUMAGAZIYEV,7349,KAZ,2:17.887,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,2,2,,26,DOTTITommaso,7604,ITA,2:17.985,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,3,3,,165,DennisVISSER,8498,NED,2:19.610,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,4,4,,111,MenderesEREN,8351,TUR,2:21.405,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,5,6,,39,LucasNG,8067,SGP,2:27.784,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,6,5,,166,ANIKEJRafal,8749,POL,notime,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,1,DNS,7,,157,TSANGKeiWingKelvin,7735,HKG,DNS,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,1,2,,44,VladimirGRIGOREV,7826,RUS,2:35.088,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,2,4,,156,FelixSPIEGL,7923,GER,2:35.333,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,3,5,,119,YauheniRYZHOU,7772,BLR,2:35.493,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,4,3,,32,JUNGHyunWoo(Andy),8575,AUS,2:35.824,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,5,1,,38,KOLENCMartin,8604,CRO,2:38.113,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,6,6,,169,SUJun-Peng,8643,TPE,2:41.121,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,2,7,7,,151,ANDERMANNDominic,8078,AUT,2:42.538,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,1,3,,28,KeithCARROLL,8449,USA,2:31.197,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,2,2,,80,VincentJEANNE,7890,FRA,2:31.329,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,3,1,,163,RobertsZVEJNIEKS,8490,LAT,2:32.994,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,4,4,,168,IvanMOJSILOVIC,8640,SRB,2:38.833,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,5,6,,164,deVinWONG,8401,MAS,2:41.110,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,3,PEN,5,,27,DmitryMIGUNOV,7755,RUS,PEN,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,1,2,,152,EdinBRANKOVIC,7256,BIH,2:21.000,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,2,7,,52,deLAATItzhak,7746,NED,2:21.495,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,3,1,,85,RichardSHOEBRIDGE,7825,GBR,2:21.974,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,4,5,,145,KlaudioNASRI,8540,BUL,2:22.079,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,5,4,,33,PierreBODA,7588,AUS,2:24.248,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,6,6,,170,HANDEIVolodymyr,8525,UKR,2:24.254,,
2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,RankingRaces-Heats,4,7,3,,69,SCHUBERTChristoph,7734,GER,2:43.942,,
