season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,1,1,1,,451,CANADA,7309,CAN,2:52.699,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,1,2,2,,457,GREATBRITAIN,7320,GBR,2:56.701,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,1,3,3,,466,SLOVAKIA,7328,SVK,3:00.910,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,2,1,2,,465,RUSSIA,7307,RUS,2:49.163,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,2,2,1,,458,HUNGARY,7324,HUN,2:49.261,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,2,3,3,,464,ROMANIA,7327,ROU,3:04.770,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,3,1,1,,455,FRANCE,7319,FRA,2:49.978,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,3,2,2,,459,ITALY,7301,ITA,2:52.487,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,3,3,3,,467,UKRAINE,7308,UKR,2:55.760,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,4,1,2,,463,KOREA,7300,KOR,2:55.243,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,4,2,3,,460,JAPAN,7310,JPN,3:08.572,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,4,3,1,,453,CROATIA,7329,CRO,3:13.581,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,5,1,1,,461,NETHERLANDS,7321,NED,2:55.286,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,5,2,3,,456,GERMANY,7302,GER,2:56.098,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,5,3,2,,454,CZECHREPUBLIC,7325,CZE,3:06.958,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,6,1,1,,452,CHINA,7303,CHN,2:55.752,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,6,2,2,,468,UNITEDSTATES,7306,USA,3:03.693,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",2000mRelay,m,Heats,6,DQ,3,,462,POLAND,7326,POL,DQ,,
