season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,1,1,1,,325,RUSSIA,9029,RUS,4:14.197,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,1,2,2,,316,JAPAN,9024,JPN,4:16.354,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,1,3,3,,301,AUSTRALIA,9012,AUS,4:16.403,q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,1,4,4,,336,GERMANY,9020,GER,4:28.608,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,2,1,2,,321,KOREA,9026,KOR,4:06.754,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,2,2,3,,329,UNITEDSTATES,9032,USA,4:26.727,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,2,PEN,4,,318,KAZAKHSTAN,9025,KAZ,PEN,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,2,PEN,1,,338,POLAND,9028,POL,PEN,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,3,1,1,,323,NETHERLANDS,9027,NED,4:09.007,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,3,2,3,,313,HUNGARY,9021,HUN,4:16.890,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,3,3,2,,307,FRANCE,9018,FRA,4:17.768,q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),3000mRelay,m,Quarterfinals,3,4,4,,303,CANADA,9016,CAN,4:19.659,,
