season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,1,1,1,,1014,UNITEDSTATES,7316,USA,3:04.913,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,1,2,2,,1004,HUNGARY,7323,HUN,3:05.222,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,1,DNF,3,,1012,RUSSIA,7315,RUS,DNF,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,1,DNF,4,,1000,BULGARIA,7335,BUL,DNF,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,2,1,2,,1011,KOREA,7314,KOR,3:02.396,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,2,2,1,,1002,CHINA,7311,CHN,3:03.472,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,2,3,3,,1010,POLAND,7332,POL,3:05.953,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,3,1,3,,1007,JAPAN,7310,JPN,3:03.984,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,3,2,4,,1003,GERMANY,7313,GER,3:04.251,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,3,3,1,,1009,NETHERLANDS,7322,NED,3:09.695,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,3,4,2,,1008,KAZAKHSTAN,7355,KAZ,3:22.098,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,4,1,1,,1001,CANADA,7312,CAN,3:05.886,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,4,2,4,,1013,SLOVAKIA,7333,SVK,3:12.256,Q
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,4,3,2,,1005,ISRAEL,7330,ISR,3:12.742,
2004-2005,"2005 World Juniors, Serbia and Montenegro",2000MRelay,w,Heats,4,DQ,3,,1006,ITALY,7317,ITA,DQ,
