season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,1,2,2,,409,NETHERLANDS,7321,NED,6:48.369,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,1,3,4,,413,UKRAINE,7308,UKR,7:04.623,
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,1,4,3,,412,TURKEY,7789,TUR,7:31.703,
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,2,1,2,,401,CANADA,7309,CAN,6:57.339,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,2,2,3,,407,JAPAN,7310,JPN,6:59.021,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,2,3,1,,414,UNITEDSTATES,7306,USA,7:05.356,
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,3,1,3,,411,RUSSIA,7307,RUS,7:01.154,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,3,2,1,,404,GREATBRITAIN,7320,GBR,7:02.848,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,3,3,4,,410,POLAND,7326,POL,7:04.196,
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,3,4,2,,405,HUNGARY,7324,HUN,7:04.576,
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4,1,2,,402,CHINA,7303,CHN,6:55.245,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4,2,1,,403,GERMANY,7302,GER,6:56.193,Q
2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4,3,3,,406,ITALY,7301,ITA,7:04.087,
