season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,1,1,1,,,JAPAN,7310,JPN,4:27.043,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,1,2,2,,,UNITEDSTATES,7316,USA,4:35.740,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,1,3,3,,,UKRAINE,7334,UKR,4:38.562,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,2,1,1,,,KOREA,7314,KOR,4:27.731,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,2,2,2,,,GERMANY,7313,GER,4:29.848,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,2,3,3,,,BULGARIA,7335,BUL,4:31.479,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,3,1,2,,,CHINA,7311,CHN,4:27.874,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,3,2,4,,,D.P.R.ofKorea,7555,PRK,4:30.107,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,3,3,1,,,ITALY,7317,ITA,4:30.223,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,3,4,3,,,HUNGARY,7323,HUN,4:39.755,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,4,1,1,,,CANADA,7312,CAN,4:29.716,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,4,2,2,,,NETHERLANDS,7322,NED,4:31.316,
1997-1998,1997 Olympic Qualifier,3000MRelay,w,Heats,4,3,3,,,RUSSIA,7315,RUS,4:33.234,
