season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1999-2000,2000 World Championships,500M,m,Heats,1,1,3,,,DanielWEINSTEIN,6940,USA,43.384,,
1999-2000,2000 World Championships,500M,m,Heats,1,2,4,,,SatoruTERAO,6320,JPN,43.601,,
1999-2000,2000 World Championships,500M,m,Heats,1,3,2,,,BrunoLOSCOS,6643,FRA,43.653,,
1999-2000,2000 World Championships,500M,m,Heats,1,4,1,,,NicolaFRANCESCHINA,6331,ITA,43.723,,
1999-2000,2000 World Championships,500M,m,Heats,2,1,4,,,TakehiroKODERA,6324,JPN,43.673,,
1999-2000,2000 World Championships,500M,m,Heats,2,2,1,,,FabioCARTA,6001,ITA,43.768,,
1999-2000,2000 World Championships,500M,m,Heats,2,3,3,,,MiroslavBOIADJIEV,6777,BUL,44.034,,
1999-2000,2000 World Championships,500M,m,Heats,2,DQ,2,,,StevenBRADBURY,6430,AUS,DQ,,
1999-2000,2000 World Championships,500M,m,Heats,3,1,2,,,Francois-LouisTREMBLAY,6704,CAN,42.799,,
1999-2000,2000 World Championships,500M,m,Heats,3,2,4,,,ANYulong,6656,CHN,43.033,,
1999-2000,2000 World Championships,500M,m,Heats,3,3,3,,,MatthewJASPER,7093,GBR,43.107,,
1999-2000,2000 World Championships,500M,m,Heats,3,4,1,,,JonathanCLEINE,6534,NZL,45.749,,
1999-2000,2000 World Championships,500M,m,Heats,4,1,1,,,FENGKai,6058,CHN,43.752,,
1999-2000,2000 World Championships,500M,m,Heats,4,2,2,,,NicolaRODIGARI,6332,ITA,43.760,,
1999-2000,2000 World Championships,500M,m,Heats,4,3,3,,,TakafumiNISHITANI,6323,JPN,43.870,,
1999-2000,2000 World Championships,500M,m,Heats,5,1,3,,,EricBEDARD,6703,CAN,43.239,,
1999-2000,2000 World Championships,500M,m,Heats,5,2,1,,,LIJiajun,7095,CHN,43.430,,
1999-2000,2000 World Championships,500M,m,Heats,5,3,2,,,PieterGYSEL,6425,BEL,43.653,,
1999-2000,2000 World Championships,500M,m,Heats,5,4,4,,,YevgenYAKOVLEV,6751,UKR,43.893,,
1999-2000,2000 World Championships,500M,m,Heats,6,1,1,,,ApoloAntonOHNO,6497,USA,43.554,,
1999-2000,2000 World Championships,500M,m,Heats,6,2,3,,,KIMDong-Sung,6944,KOR,43.631,,
1999-2000,2000 World Championships,500M,m,Heats,6,3,4,,,DaveVERSTEEG,6540,NED,43.688,,
1999-2000,2000 World Championships,500M,m,Heats,6,4,2,,,NickyGOOCH,6640,GBR,1:17.802,,
