season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,1,1,,,MINRyoung,6619,KOR,2:25.904,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,2,2,,,SatoruTERAO,6320,JPN,2:25.947,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,3,3,,,JonathanGUILMETTE,6702,CAN,2:26.212,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,4,5,,,DanielWEINSTEIN,6940,USA,2:27.272,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,5,6,,,LeonFLACK,6641,GBR,2:27.296,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,1,DQ,4,,,ANYulong,6656,CHN,DQ,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,1,1,,,ApoloAntonOHNO,6497,USA,2:21.288,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,2,3,,,LEESeung-Jae,6621,KOR,2:21.476,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,3,4,,,BrunoLOSCOS,6643,FRA,2:21.628,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,4,5,,,FENGKai,6058,CHN,2:22.051,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,5,2,,,YugoSHINOHARA,6325,JPN,2:23.169,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,2,6,6,,,OlegGLEBOV,6495,RUS,2:23.959,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,3,1,2,,,MarcGAGNON,6701,CAN,2:33.167,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,3,3,1,,,NickyGOOCH,6640,GBR,2:33.287,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,3,4,3,,,MaurizioCARNINO,6333,ITA,2:33.558,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,3,5,4,,,PieterGYSEL,6425,BEL,2:33.708,,
2000-2001,2001 World Championships - Korea,1500M,m,SemiFinals,3,6,6,,,TakafumiNISHITANI,6323,JPN,2:34.001,,
