season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,1,1,2,,142,MIYATAShogo,9460,JPN,1:27.067,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,1,2,1,,117,LIWenlong,9453,CHN,1:27.194,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,1,3,4,,171,IVLIEVKonstantin,9417,RUS,1:27.855,q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,1,4,3,,122,SELLIERDiane,9237,FRA,1:27.943,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,1,5,5,,138,SIGHELPietro,9251,ITA,1:28.066,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,2,1,1,,120,WANGPengyu,9231,CHN,1:27.896,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,2,2,2,,161,BramSTEENAART,9278,NED,1:28.024,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,2,3,3,,137,PietroMARINELLI,9249,ITA,1:28.475,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,2,4,4,,155,MURPHYPeter,9269,LUX,1:29.338,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,2,5,5,,167,KrystianGISZKA,9285,POL,1:31.536,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,3,1,1,,150,JUNGHokYoung,9266,KOR,1:28.553,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,3,2,2,,118,SONGJian,9572,CHN,1:29.169,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,3,3,3,,144,NurlibekBEISEEV,8715,KAZ,1:29.221,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,3,4,4,,194,BrandonKIM,9303,USA,1:29.619,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,3,5,5,,181,DJORDJEVICJovan,9295,SRB,1:30.900,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,4,1,1,,151,KIMTaeSung,9540,KOR,1:28.216,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,4,2,4,,115,NicolasPERREAULT,9513,CAN,1:28.451,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,4,3,3,,152,ReinisBERZINS,9267,LAT,1:28.564,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,4,4,2,,126,TREACYNiall,9390,GBR,1:28.778,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,4,PEN,5,,174,AlekseySIMAKIN,9560,RUS,PEN,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,5,1,2,,160,ROESSven,9487,NED,1:29.220,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,5,2,5,,104,JoshuaKAH,9214,AUS,1:29.954,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,5,3,4,,135,TIBORCZDaniel,9106,HUN,1:31.768,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,5,4,3,,129,TENZERRobin,9528,GER,1:32.620,ADV,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,5,PEN,1,,146,SHAMUKHANOVYerkebulan,8672,KAZ,PEN,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,6,1,1,,149,CHANGHyunWoo,9539,KOR,1:26.255,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,6,2,2,,134,TALABOSAttila,9243,HUN,1:26.417,Q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,6,3,4,,124,PeterRICHES,9525,GBR,1:27.436,q,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,6,4,3,,170,MateuszMIKOLAJUK,9556,POL,1:28.716,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1000m,m,Heats,6,5,5,,102,DenaliBLUNDEN,9081,AUS,1:34.175,,
