season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1997-1998,1998 World Championships,5000MRelay,m,Heats,1,1,1,,,CHINA,7303,CHN,4:07.316,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,1,2,2,,,JAPAN,7304,JPN,4:08.013,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,1,3,3,,,POLAND,7326,POL,4:19.657,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,2,1,1,,,CANADA,7309,CAN,4:09.678,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,2,2,2,,,GREATBRITAIN,7320,GBR,4:11.782,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,2,3,3,,,GERMANY,7302,GER,4:16.843,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,3,1,1,,,KOREA,7300,KOR,4:11.487,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,3,2,2,,,AUSTRALIA,7305,AUS,4:11.584,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,3,3,3,,,HUNGARY,7324,HUN,4:12.147,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,4,1,1,,,ITALY,7301,ITA,4:12.193,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,4,2,2,,,UNITEDSTATES,7306,USA,4:13.081,,
1997-1998,1998 World Championships,5000MRelay,m,Heats,4,DQ,3,,,AUSTRIA,8122,AUT,DQ,,
