season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,1,1,3,,306,GREATBRITAIN,7320,GBR,6:59.274,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,1,2,1,,314,UKRAINE,7308,UKR,7:02.179,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,1,PEN,2,,302,BELARUS,7399,BLR,PEN,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,2,1,1,,312,RUSSIA,7307,RUS,6:57.531,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,2,2,2,,311,POLAND,7326,POL,6:58.003,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,2,3,3,,308,HUNGARY,7324,HUN,7:06.517,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,3,1,2,,305,FRANCE,7319,FRA,6:58.745,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,3,2,1,,307,GERMANY,7302,GER,6:59.062,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,3,3,3,,304,CZECHREPUBLIC,7325,CZE,7:11.703,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,3,4,4,,303,BULGARIA,7392,BUL,7:30.770,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,4,1,2,,310,NETHERLANDS,7321,NED,7:04.920,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,4,2,3,,301,BELGIUM,7897,BEL,7:09.966,Q,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,4,3,1,,309,ITALY,7301,ITA,7:24.432,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",5000mRelay,m,Heats,4,4,4,,313,TURKEY,7789,TUR,7:36.590,,
