season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,1,1,3,,197,GERMANY,7302,GER,6:56.820,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,1,2,1,,194,AUSTRALIA,7305,AUS,6:57.512,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,1,3,2,,187,CHINA,7303,CHN,7:00.622,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,2,1,2,,195,KOREA,7300,KOR,6:53.780,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,2,2,1,,196,FRANCE,7319,FRA,7:04.530,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,2,3,3,,198,GREATBRITAIN,7320,GBR,7:08.996,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,3,1,1,,204,UNITEDSTATES,7306,USA,6:59.440,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,3,3,2,,201,NETHERLANDS,7321,NED,7:08.092,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,3,4,4,,203,UKRAINE,7308,UKR,7:08.170,
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,4,1,2,,186,CANADA,7309,CAN,6:57.898,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,4,2,1,,200,JAPAN,7310,JPN,7:03.387,Q
2006-2007,"ISU World Cup 2006/2007, Canada, Montreal",5000mRelay,m,QuarterFinals,4,3,3,,202,RUSSIA,7307,RUS,7:05.621,
