season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,1,1,2,,67,GuillaumeBLAISDUFOUR,7201,CAN,43.361,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,1,2,1,,115,RafalPIORECKI,7170,POL,43.530,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,1,3,3,,94,MarcoBERTOLDI,6180,ITA,43.572,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,1,4,4,,63,ArnoJASPERS,7117,BEL,44.413,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,2,1,3,,127,J.R.CELSKI,7279,USA,43.787,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,2,2,2,,99,TakayukiMURATAKE,7442,JPN,43.814,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,2,3,1,,118,SemenELISTRATOV,7293,RUS,44.217,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,2,4,4,,77,OndrejSUCHY,7131,CZE,44.325,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,3,1,1,,72,CHENShangpeng,7433,CHN,43.524,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,3,2,3,,88,ViktorKNOCH,6177,HUN,43.568,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,3,3,4,,91,BYKANOVVladislav,6178,ISR,44.305,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,3,DQ,2,,111,MikeWESTERMAN,7116,NED,DQ,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,4,1,1,,81,SergePLANCHER,6310,FRA,43.958,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,4,2,3,,71,ZHANGZhiqiang,7359,CHN,44.248,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,4,3,4,,119,DenisDOLGOPOLOV,7449,RUS,44.927,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,4,4,5,,65,ViktorDIMITROV,7128,BUL,44.939,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,5,1,3,,105,LEEJungSu,7266,KOR,43.687,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,5,2,4,,82,CyrilLAFARGE,7435,FRA,45.189,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,5,3,1,,98,ShotaroTANAKA,7347,JPN,45.213,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,5,4,2,,129,WalterRUSK,7454,USA,1:02.581,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,6,1,3,,104,LEEHan-Bin,7444,KOR,43.093,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,6,2,1,,86,IanUPCOTT,7257,GBR,51.617,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,6,3,2,,80,MaximeCHATAIGNIER,6106,FRA,56.343,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,6,DQ,4,,110,KNEGTSjinkie,7352,NED,DQ,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,7,1,1,,128,KyleUYEHARA,7453,USA,43.558,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,7,2,2,,70,CHENXin,7358,CHN,43.747,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,7,3,4,,100,NurbergenZHUMAGAZIYEV,7349,KAZ,44.635,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,7,4,3,,78,PetrHARGAS,6171,CZE,44.764,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,8,1,1,,97,SatoshiSAKASHITA,6183,JPN,43.083,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,8,2,2,,68,MaximeFORTIN,7137,CAN,43.213,Q,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,8,3,3,,84,DennisWALZER,7144,GER,45.054,,
2007-2008,"2008 ISU World Junior Championships, Italy",500M,m,Heats,8,4,4,,106,SAULITISJekabs,7267,LAT,52.389,,
