season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,1,1,1,,13,SHIMSukHee,8092,KOR,43.521,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,1,2,2,,120,KIMJiYoo,8764,KOR,43.805,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,1,3,4,,40,ZANGYize,8725,CHN,44.331,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,1,4,5,,72,THOMSONKathryn,8465,GBR,44.398,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,1,5,3,,51,deVRIESRianne,8333,NED,notime,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,1,1,,1,CHOIMinJeong,8625,KOR,44.253,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,2,5,,61,MALISZEWSKANatalia,8437,POL,44.566,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,3,2,,60,KONSTANTINOVAEkaterina,8510,RUS,44.685,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,4,3,,23,PetraJASZAPATI,8611,HUN,44.719,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,5,6,,28,MagdalenaWARAKOMSKA,8502,POL,44.931,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,2,6,4,,111,AriannaFONTANA,6227,ITA,notime,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,3,1,1,,2,MarianneST-GELAIS,7216,CAN,43.770,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,3,2,2,,125,Marie-EveDROLET,6059,CAN,43.942,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,3,3,5,,11,vanKERKHOFYara,7422,NED,43.959,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,3,4,4,,19,AnnaSEIDEL,8562,GER,46.036,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,3,5,3,,50,PROSVIRNOVASofia,8509,RUS,notime,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,4,2,3,,4,FANKexin,7694,CHN,43.833,Q,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,4,3,2,,6,GUOYihan,8364,CHN,43.921,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,4,4,4,,5,SCHULTINGSuzanne,8493,NED,43.988,,
2016-2017,ISU World Short Track Championships 2017,500m,w,Quarterfinals,4,5,5,,54,WALTERBianca,7232,GER,44.312,,
