season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,1,1,2,,311,NETHERLANDS,9040,NED,4:17.500,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,1,2,1,,306,CZECHREPUBLIC,9065,CZE,4:24.718,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,1,3,3,,301,BELARUS,9079,BLR,4:27.710,q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,1,4,4,,309,POLAND,9041,POL,4:44.895,,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,2,1,2,,308,RUSSIA,9046,RUS,4:22.859,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,2,2,3,,310,HUNGARY,9043,HUN,4:23.211,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,2,3,1,,307,BULGARIA,9057,BUL,4:27.815,q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,3,1,2,,302,GERMANY,9080,GER,4:21.456,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,3,2,3,,305,ITALY,9039,ITA,4:28.613,Q,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,3,3,4,,304,FRANCE,9042,FRA,4:31.919,,
2015-2016,ISU European Short Track Speed Skating Championships® 2016,3000mRelay,w,Heats,3,4,1,,303,UKRAINE,9050,UKR,4:37.949,,
