season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,1,1,3,,131,GaborGALAMBOS,6010,HUN,44.575,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,1,2,4,,133,MarcoBERTOLDI,6180,ITA,45.324,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,1,3,1,,147,DariuszKULESZA,6817,POL,48.023,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,1,DQ,2,,156,EvgeniiKOZULIN,7272,RUS,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,2,2,2,,168,SimonCHO,7188,USA,43.147,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,2,3,3,,145,JorritOOSTEN,6123,NED,43.525,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,2,4,4,,135,ClaudioRINALDI,7261,ITA,44.412,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,3,1,2,,110,YELiming,6219,CHN,43.497,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,3,2,4,,159,MilosVIGAS,6132,SVK,1:16.125,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,3,DQ,1,,109,MaximeFORTIN,7137,CAN,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,3,DQ,3,,158,SemenELISTRATOV,7293,RUS,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,4,1,1,,132,ViktorKNOCH,6177,HUN,43.399,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,4,2,2,,123,SergePLANCHER,6310,FRA,43.444,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,4,3,3,,169,TrevorMARSICANO,7189,USA,43.556,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,4,4,4,,124,TorstenKROEGER,7141,GER,44.332,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,5,1,4,,112,WEIJiguang,7155,CHN,43.227,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,5,2,1,,121,MaximeCHATAIGNIER,6106,FRA,43.286,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,5,3,2,,107,VincentANDRE,7134,CAN,43.580,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,5,DQ,3,,139,YuMIURA,6181,JPN,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,6,1,1,,108,BEANNicholas,6128,CAN,43.332,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,6,2,2,,128,IanUPCOTT,7257,GBR,43.605,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,6,3,3,,157,VOLIKOVArtem,7289,RUS,43.839,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,6,4,4,,113,CHENGEricI,6937,TPE,44.204,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,7,1,1,,167,JeffSIMON,7280,USA,43.473,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,7,2,3,,150,LEEJungSu,7266,KOR,43.726,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,7,3,4,,115,BorenZUNAC,6170,CRO,48.567,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,7,DQ,2,,122,JeremyMASSON,6173,FRA,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,8,1,2,,111,GAOMing,7154,CHN,43.644,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,8,2,3,,134,GianluigiNOVER,7260,ITA,44.317,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,8,3,4,,117,PetrHARGAS,6171,CZE,44.566,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",500m,m,Heats,8,DNF,1,,152,JANGWon-Hoon,7166,KOR,DNF,,
