season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,1,1,1,,304,CHINA,9468,CHN,2:40.449,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,1,2,3,,308,FRANCE,9469,FRA,2:40.705,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,1,3,4,,316,ITALY,9472,ITA,2:41.071,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,1,PEN,2,,313,HUNGARY,9471,HUN,PEN,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,2,1,2,,326,NETHERLANDS,9476,NED,2:41.817,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,2,3,3,,336,UNITEDSTATES,9479,USA,2:42.071,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,2,4,4,,311,GERMANY,9592,GER,2:43.000,
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,3,1,1,,301,CANADA,9467,CAN,2:41.189,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,3,2,2,,322,KOREA,9475,KOR,2:41.412,Q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,3,3,4,,320,JAPAN,9473,JPN,2:41.423,q
2019-2020,ISU World Cup  2019/20 - Montreal (CAN),2000mRelay,x,Quarterfinals,3,4,3,,329,POLAND,9477,POL,notime,
