season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,1,1,3,,410,RUSSIA,7307,RUS,6:55.532,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,1,2,1,,404,GREATBRITAIN,7320,GBR,6:59.427,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,1,3,2,,412,UKRAINE,7308,UKR,7:13.353,q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,1,4,4,,411,TURKEY,7789,TUR,notime,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,2,1,1,,408,NETHERLANDS,7321,NED,6:54.908,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,2,2,4,,403,FRANCE,7319,FRA,6:56.153,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,2,3,2,,405,GERMANY,7302,GER,6:57.357,q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,2,PEN,3,,401,BELARUS,7399,BLR,PEN,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,3,1,2,,406,HUNGARY,7324,HUN,6:53.439,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,3,2,4,,407,ITALY,7301,ITA,6:57.543,Q,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,3,3,1,,409,POLAND,7326,POL,7:19.677,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,5000mRelay,m,Heats,3,4,3,,402,BULGARIA,7392,BUL,notime,,
