season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,1,1,0,,1114,JAPAN,7304,JPN,4:14.29,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,1,2,0,,1110,GREATBRITAIN,7320,GBR,4:15.94,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,1,3,0,,1119,Norway,8290,NOR,4:16.43,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,2,1,0,,1113,ITALY,7301,ITA,4:16.37,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,2,2,0,,1120,KOREA,7300,KOR,4:16.85,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,2,3,0,,1121,RUSSIA,7307,RUS,4:29.31,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,2,4,0,,11112,AUSTRIA,8122,AUT,,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,3,1,0,,1116,CANADA,7309,CAN,4:18.66,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,3,2,0,,1125,UNITEDSTATES,7306,USA,4:18.97,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,3,3,0,,1118,FRANCE,7319,FRA,4:30.91,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,3,4,0,,1122,SWEDEN,8271,SWE,4:31.06,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,4,1,0,,11111,AUSTRALIA,7305,AUS,4:18.21,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,4,2,0,,1112,CHINA,7303,CHN,4:18.78,,
1994-1995,1995 World Short Track Speed Skating Championship,5000M,m,Heats,4,3,0,,1117,NETHERLANDS,7321,NED,4:23.07,,
