season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,1,1,2,,289,KOREA,7314,KOR,4:16.442,Q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,1,2,3,,288,JAPAN,7304,JPN,4:18.695,Q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,1,3,1,,286,FRANCE,7354,FRA,4:26.923,q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,1,4,4,,287,GERMANY,7313,GER,4:38.539,
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2,2,2,,292,RUSSIA,7315,RUS,4:16.989,Q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2,3,1,,283,BULGARIA,7335,BUL,4:31.369,
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,3,1,3,,284,CANADA,7312,CAN,4:17.235,Q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,3,2,2,,293,UNITEDSTATES,7316,USA,4:18.630,Q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,3,3,1,,290,NETHERLANDS,7322,NED,4:20.204,q
2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,3,4,4,,291,POLAND,7332,POL,4:22.289,
