season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,1,1,1,,1114,KOREA,7314,KOR,4:22.348,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,1,2,2,,1116,UNITEDSTATES,7316,USA,4:23.819,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,1,3,4,,1115,RUSSIA,7315,RUS,4:23.852,q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,1,4,3,,1103,BULGARIA,7335,BUL,4:24.096,
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,2,1,4,,1111,JAPAN,7304,JPN,4:27.790,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,2,2,2,,1113,POLAND,7332,POL,4:29.537,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,2,3,1,,1110,ITALY,7317,ITA,4:35.411,ADV
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,2,DQ,3,,1105,CANADA,7312,CAN,DQ,
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,3,2,2,,1108,GERMANY,7313,GER,4:24.261,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,3,3,3,,1112,NETHERLANDS,7322,NED,4:26.337,q
2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",3000mRelay,w,Heats,3,4,4,,1109,GREATBRITAIN,7331,GBR,4:30.862,
