season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,1,1,3,,,BELGIUM,8223,BEL,7:04.413,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,1,2,2,,,GERMANY,7302,GER,7:05.563,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,1,3,1,,,HUNGARY,7324,HUN,7:23.252,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,2,1,1,,,CANADA,7309,CAN,6:59.348,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,2,2,3,,,UKRAINE,7308,UKR,7:16.903,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,2,3,2,,,BULGARIA,7392,BUL,7:31.608,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,3,1,3,,,UNITEDSTATES,7306,USA,6:56.682,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,3,2,2,,,NETHERLANDS,7321,NED,6:57.609,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,3,3,1,,,RUSSIA,7307,RUS,7:02.297,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,4,1,3,,,AUSTRALIA,7305,AUS,7:09.571,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,4,2,2,,,FRANCE,7319,FRA,7:09.617,
2001-2002,2001 Olympic Qualifier,5000MRelay,m,Repechage,4,3,1,,,GREATBRITAIN,7320,GBR,7:24.750,
