season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,1,2,2,,28,AndreaKESZLER,7147,HUN,44.118,QA,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,1,3,4,,43,vanKERKHOFYara,7422,NED,44.799,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,1,4,3,,14,KaterinaNOVOTNA,6647,CZE,1:01.260,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,2,1,2,,40,JorienterMORS,6146,NED,44.117,QA,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,2,2,1,,35,VALCEPINAMartina,7159,ITA,44.472,QA,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,2,3,4,,27,BernadettHEIDUM,6798,HUN,44.643,,
2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",500m,w,Semifinals,2,4,3,,24,WALTERBianca,7232,GER,44.742,,
